rank,division,division_rank,endpoint_id,endpoint_label,tier,questions_scored,operational_goodput,quality_score,quality_ci95_low,quality_ci95_high,availability,successful_answers,failed_answers,latency_p50_ms,latency_p95_ms,cost_usd,cost_is_lower_bound,data_analysis_score,instruction_following_score,language_score,math_score,reasoning_score
1,Fixed managed text endpoints,1,kc-openai-gpt-5-5,gpt-5.5,1,15,0.838,0.838,0.6513333333333333,0.9846666666666667,0.8666666666666667,13,2,11765.82421875,41569.58270624242,0.337675950,True,0.8566666666666668,1.0,0.6666666666666666,0.6666666666666666,1.0
2,Fixed managed text endpoints,2,kc-gpt-5.6-sol,GPT-5.6 Sol,1,15,0.8028888888888889,0.8028888888888889,0.6088888888888888,0.9673333333333335,0.8666666666666667,13,2,10620.642900001258,48926.88594001811,0.243946620,True,0.9033333333333333,0.7777777777777778,1.0,0.6666666666666666,0.6666666666666666
3,Fixed managed text endpoints,3,kc-claude-opus-4.8,Claude Opus 4.8,1,15,0.7394444444444445,0.7394444444444445,0.5611111111111111,0.8972222222222221,1.0,15,0,9496.593505859375,22428.44019988551,0.367448700,False,0.85,0.5555555555555555,0.8333333333333334,1.0,0.4583333333333333
4,Fixed managed text endpoints,4,kc-bedrock-anthropic-claude-opus-4-8,Claude Opus 4.8,1,15,0.7211111111111111,0.7211111111111111,0.5399999999999999,0.8833333333333333,1.0,15,0,8999.35009765625,22262.74289550781,0.356534700,False,0.7999999999999999,0.5555555555555555,0.5833333333333334,1.0,0.6666666666666666
5,Fixed managed text endpoints,5,kc-grok-4.5,Grok 4.5,1,15,0.6755555555555556,0.8088888888888889,0.6088888888888888,0.9733333333333334,0.8666666666666667,13,2,29455.534199951217,201116.3631200557,0.032809650,True,0.6,0.7777777777777777,1.0,0.6666666666666666,1.0
6,Fixed managed text endpoints,6,kc-gpt-5.6-terra,GPT-5.6 Terra,1,15,0.6307777777777778,0.6307777777777778,0.4264444444444445,0.8202222222222222,0.8,12,3,9795.409300131723,29748.959765624997,0.098578030,True,0.8066666666666666,0.5555555555555555,0.6666666666666666,0.6666666666666666,0.4583333333333333
7,Managed research systems,1,kc-openai-gpt-5-3-codex,gpt-5.3-codex,1,15,0.6137777777777778,0.6137777777777778,0.41200000000000003,0.8002222222222223,0.9333333333333333,14,1,4959.778564453125,11402.022485351561,0.067424960,True,0.68,0.5555555555555555,0.8333333333333334,0.6666666666666666,0.3333333333333333
8,Fixed managed text endpoints,7,kc-gpt-5.6-luna,GPT-5.6 Luna,1,15,0.5584444444444443,0.5584444444444443,0.3302222222222222,0.7806666666666667,0.7333333333333333,11,4,10784.709716796875,21260.30910644531,0.010867660,True,0.9033333333333333,0.5555555555555555,0.6666666666666666,0.6666666666666666,0.0
9,Fixed managed text endpoints,8,kc-claude-sonnet-5,Claude Sonnet 5,1,15,0.514,0.514,0.29177777777777775,0.7362222222222223,0.6666666666666666,10,5,9560.284423828125,23585.93990660887,0.106524920,True,0.9033333333333333,0.3333333333333333,0.3333333333333333,1.0,0.0
10,Fixed managed text endpoints,9,kc-qwen3-next,Qwen3 Next 80B,1,15,0.4937777777777778,0.4937777777777778,0.28888888888888886,0.7113333333333334,1.0,15,0,6649.939453125,18336.86875998974,0.030091600,False,0.5800000000000001,0.5555555555555555,0.6666666666666666,0.6666666666666666,0.0
11,Fixed managed text endpoints,10,kc-deepseek-v3.2,DeepSeek V3.2,1,15,0.47488888888888886,0.47488888888888886,0.25266666666666665,0.7,1.0,15,0,17002.164400182664,48347.793020051904,0.044055400,False,0.09666666666666666,0.7777777777777777,0.8333333333333334,0.6666666666666666,0.0
