display_order,cohort,claim_class,role,benchmark_status,catalog_status,rank,execution_rank,endpoint_id,vendor_model_id,endpoint_label,configuration_label,tier,questions_scored,operational_goodput,operational_goodput_ci95_low,operational_goodput_ci95_high,quality_score,quality_ci95_low,quality_ci95_high,conditional_quality_score,availability,successful_answers,failed_answers,missing_answers,latency_p50_ms,latency_p95_ms,cost_usd,cost_is_lower_bound,data_analysis_score,instruction_following_score,language_score,math_score,reasoning_score,provider_error_distribution,n_a_reason_code,n_a_reason
1,core-ga,general-availability,candidate,scored,present,1,1,kc-gpt-5.6-sol,gpt-5.6-sol,GPT-5.6 Sol,GPT-5.6 Sol (Kendr served default),1,15,0.7935555555555555,0.6,0.956,0.7935555555555555,0.6,0.956,0.9156410256410256,0.8666666666666667,13,2,0,15594.619400100783,50416.427459585655,0.268984620,True,0.8566666666666668,0.7777777777777778,1.0,0.6666666666666666,0.6666666666666666,"{""InternalServerError"":2}",N/A,N/A
2,core-ga,general-availability,candidate,scored,present,2,2,kc-grok-4.5,grok-4.5,Grok 4.5,Grok 4.5 (Kendr served default),1,15,0.7200000000000001,0.4666666666666667,0.92,0.7200000000000001,0.4666666666666667,0.9333333333333333,0.9818181818181819,0.7333333333333333,11,4,0,24097.51670015976,240966.06296386718,0.024882230,True,0.6,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,"{""InternalServerError"":3,""NotFoundError"":1}",N/A,N/A
3,core-ga,general-availability,candidate,scored,present,3,3,kc-claude-opus-5,claude-opus-5,Claude Opus 5,Claude Opus 5 (Kendr served default),1,15,0.6891111111111111,0.46711111111111114,0.888888888888889,0.6891111111111111,0.46688888888888885,0.8888888888888888,0.8613888888888889,0.8,12,3,0,11604.751708984375,26131.265827637904,0.259452000,True,0.5566666666666666,0.5555555555555555,0.6666666666666666,1.0,0.6666666666666666,"{""InternalServerError"":2,""NotFoundError"":1}",N/A,N/A
4,core-ga,general-availability,candidate,scored,present,4,5,kc-google-gemini-3-6-flash,gemini-3.6-flash,Gemini 3.6 Flash,Gemini 3.6 Flash (Kendr served default),2,15,0.33111111111111113,0.12000000000000001,0.5733333333333334,0.33111111111111113,0.12000000000000001,0.5733333333333334,0.33111111111111113,1.0,15,0,0,10781.257080078125,14533.216935715445,0.235907720,False,0.26666666666666666,0.05555555555555555,0.6666666666666666,0.6666666666666666,0.0,{},N/A,N/A
5,core-ga,general-availability,candidate,scored,present,5,6,kc-ollama-deepseek-v4-flash-0731,N/A,DeepSeek V4 Flash 0731,DeepSeek V4 Flash 0731 (Kendr served default),2,15,0.13333333333333333,0.0,0.3333333333333333,0.13333333333333333,0.0,0.3333333333333333,1.0,0.13333333333333333,2,13,0,8290.64410016872,14456.049379985776,0.000832410,True,0.0,0.6666666666666666,0.0,0.0,0.0,"{""InternalServerError"":7,""NotFoundError"":6}",N/A,N/A
6,core-ga,general-availability,baseline,scored,present,N/A,4,kc-openai-gpt-5-5,gpt-5.5,GPT-5.5 baseline,GPT-5.5 (Kendr served baseline),1,15,0.6888888888888888,0.4666666666666666,0.888888888888889,0.6888888888888888,0.4444444444444445,0.888888888888889,0.9393939393939393,0.7333333333333333,11,4,0,12057.24560546875,34676.38967319503,0.223260850,True,0.6666666666666666,0.7777777777777778,0.6666666666666666,0.6666666666666666,0.6666666666666666,"{""InternalServerError"":4}",N/A,N/A
7,core-ga,general-availability,candidate,not_measured,missing,N/A,N/A,kc-claude-fable-5,claude-fable-5,Claude Fable 5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,{},missing,"Canonical Fable routing is staged, but Bedrock requires explicit provider_data_share consent that can share prompts and completions with Anthropic and retain them for up to 30 days. Kendr did not change that privacy setting, so this configuration is N/A rather than scored zero."
8,core-ga,general-availability,candidate,not_measured,missing,N/A,N/A,kc-kimi-k3,kimi-k3,Kimi K3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,{},missing,"Canonical Moonshot routing is staged fail-closed, but no Moonshot credential is configured and discovery exposes no callable Kimi K3 endpoint."
9,core-ga,general-availability,candidate,not_measured,missing,N/A,N/A,kc-muse-spark-1.2,muse-spark-1.2,Muse Spark 1.2 standard,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,{},missing,"The standard non-contributor Meta route is staged fail-closed, but no Meta credential or approved exact standard-route rate card is configured."
10,core-ga,general-availability,candidate,not_measured,missing,N/A,N/A,kc-glm-5.2,glm-5.2,GLM 5.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,{},missing,"Canonical Z.AI routing and verified pricing are staged fail-closed, but no Z.AI credential is configured and no callable GLM 5.2 alias is exposed."
